MaxForwardProgress,episode-length-max,actions-min,return-max,log-pi-max,time-total,actions-mean,pool-size,log-pi-min,total-samples,policy-entropy-mean,raw-actions-mean,episode-length-min,max-path-return,return-min,actions-max,return-std,MinForwardProgress,time-eval,time-sample,time-train,raw-actions-min,StdForwardProgress,episode-length-std,raw-actions-max,epoch,vf-std,mean-sq-bellman-error,AverageForwardProgress,qf-std,episodes,episode-length-avg,return-average,last-path-return,qf-avg,vf-avg
3.925630343787524,1000,-5.578854,219.29286991660248,-2.9325857,5.400227318517864,0.64269185,1000,-12.214114,1000,6.8883414,0.64269185,1000,1885.4999188018164,219.29286991660248,11.719566,0.0,3.925630343787524,0,2.160120158456266,0.09106639679521322,-5.578854,0.0,0.0,11.719566,0,0.90111595,21.428604,3.925630343787524,1.2119666,1,1000.0,219.29286991660248,1885.4999188018164,1.8623394,-1.7128755
77.0135066560495,1000,-3.0849872,3883.975469012245,-8.005719,12.544826377183199,0.07176085,2000,-17.460047,2000,10.991119,0.07176085,1000,2948.2245643211268,3883.975469012245,3.2411876,0.0,77.0135066560495,0,2.0678679440170527,2.4573460929095745,-3.0849872,0.0,0.0,3.2411876,1,22.309034,3.54951,77.0135066560495,22.843077,3,1000.0,3883.975469012245,1368.2073511106441,70.49325,71.51657
31.936745251235983,484,-3.5233471,1618.5942287364855,-8.093604,18.36052082385868,0.23911776,3000,-20.198523,3000,11.512598,0.23911776,484,3207.402708780862,1618.5942287364855,3.3221412,0.0,31.936745251235983,2.619759675115347,2.0669847363606095,2.4721698444336653,-3.5233471,0.0,0.0,3.3221412,2,42.947136,17.428831,31.936745251235983,44.217384,4,484.0,1618.5942287364855,3207.402708780862,176.21204,175.33667
18.531617151002987,1000,-3.825147,957.2094299604282,-8.160545,25.566360992379487,0.119138636,4000,-19.496717,4000,11.460762,0.119138636,1000,4321.623284322982,957.2094299604282,4.9988456,0.0,18.531617151002987,1.2769896043464541,2.0703580863773823,2.469920104369521,-3.825147,0.0,0.0,4.9988456,3,66.738815,29.968372,18.531617151002987,67.35494,5,1000.0,957.2094299604282,4321.623284322982,279.02258,285.25912
20.97056085751354,297,-3.9002519,1063.0648738663654,-7.9980726,30.865191105753183,0.32197064,5000,-18.307806,5000,11.494361,0.32197064,297,4321.623284322982,1063.0648738663654,4.12247,0.0,20.97056085751354,2.6659282632172108,2.0724029894918203,2.442198622971773,-3.9002519,0.0,0.0,4.12247,4,82.094406,59.51992,20.97056085751354,83.175545,7,297.0,1063.0648738663654,77.56626485687245,373.48965,372.97278
9.945729782923731,124,-3.8111963,506.1101922311059,-8.322894,35.724147053435445,0.26960498,6000,-21.001415,6000,12.07927,0.26960498,124,4321.623284322982,506.1101922311059,6.9728627,0.0,9.945729782923731,0.7846179818734527,2.072114928625524,2.455365728586912,-3.8111963,0.0,0.0,6.9728627,5,98.73525,62.962807,9.945729782923731,100.276215,9,124.0,506.1101922311059,1434.2348540589485,437.45728,436.6189
9.151236715842453,1000,-3.6488414,490.1300350108879,-8.096522,42.93847673851997,0.30331555,7000,-20.547182,7000,11.507109,0.30331555,1000,4321.623284322982,490.1300350108879,4.2956095,0.0,9.151236715842453,0.33182670921087265,2.069572432897985,2.4728006357327104,-3.6488414,0.0,0.0,4.2956095,6,120.608635,113.800095,9.151236715842453,119.92479,10,1000.0,490.1300350108879,3818.923356306315,505.65213,506.04425
84.6211604313293,1000,-3.9333134,4261.129378663989,-8.066183,50.085671823471785,0.27215877,8000,-16.799057,8000,11.284801,0.27215877,1000,4321.623284322982,4261.129378663989,4.854055,0.0,84.6211604313293,2.6725872326642275,2.0710793724283576,2.4451489876955748,-3.9333134,0.0,0.0,4.854055,7,130.96657,114.03225,84.6211604313293,133.58151,13,1000.0,4261.129378663989,93.09314665754476,564.9983,571.6086
74.11032643704127,1000,-4.2656374,3732.166627373842,-8.247906,57.2742451922968,0.24877632,9000,-16.787735,9000,11.569399,0.24877632,1000,4321.623284322982,3732.166627373842,4.967108,0.0,74.11032643704127,2.6316443532705307,2.0860220612958074,2.457980640232563,-4.2656374,0.0,0.0,4.967108,8,185.76141,705.5742,74.11032643704127,185.39978,14,1000.0,3732.166627373842,1481.6816000864242,599.63074,609.7464
7.5260399399167985,1000,-3.8463743,409.87767823230354,-8.24107,64.47835683822632,0.19230697,10000,-20.766787,10000,11.589467,0.19230697,1000,4321.623284322982,409.87767823230354,6.2878385,0.0,7.5260399399167985,2.6444966634735465,2.078817432746291,2.457512508146465,-3.8463743,0.0,0.0,6.2878385,9,241.30283,196.1337,7.5260399399167985,243.01263,15,1000.0,409.87767823230354,2359.318864753605,639.73694,644.68494
45.477251111589155,673,-4.5785956,2295.7509717619987,-7.7871013,70.76292471215129,0.18983442,11000,-18.032873,11000,11.291128,0.18983442,673,4321.623284322982,2295.7509717619987,4.1486764,0.0,45.477251111589155,2.668110397644341,2.0803826227784157,2.4377450300380588,-4.5785956,0.0,0.0,4.1486764,10,301.39246,175.71603,45.477251111589155,300.98108,16,673.0,2295.7509717619987,1118.597893892571,659.36743,665.22437
73.22620586474564,982,-4.071571,3690.2431936122084,-7.4670744,77.85605881270021,0.2671606,12000,-17.201775,12000,11.021412,0.2671606,982,4321.623284322982,3690.2431936122084,4.7235513,0.0,73.22620586474564,1.7668927693739533,2.0754502220079303,2.4538917606696486,-4.071571,0.0,0.0,4.7235513,11,256.97922,238.98936,73.22620586474564,255.00255,17,982.0,3690.2431936122084,3635.6909997177772,785.7201,783.82825
