epoch,return-average
738,2528.3831028825
739,38.0244513159
740,2234.106323064
741,1668.8038820993
742,2210.770284982
743,1941.6466902622
744,2411.8552933682
745,366.8445473293
746,1413.2509890637
747,2386.4604841066
748,2282.3372172381
749,50.0705334265
750,1992.1436989985
751,1063.6162925129
752,3024.4619026972
753,799.2175350812
754,1359.1626214418
755,1245.8110718204
756,2196.5912936233
757,640.5153210857
758,432.7499088867
759,1536.2764078619
760,1148.6254109611
761,1916.2816466041
762,1579.0664170235
763,2021.6398275827
764,1204.6500554839
765,604.6753469993
766,1929.2920103413
767,2455.8401889511
768,2640.886091713
769,1386.1401189955
770,1615.0128060124
771,339.0367741065
772,1982.1932067423
773,2231.3480696894
774,801.8937923717
775,568.9566856283
776,760.3661795758
777,378.0864503412
778,529.3750441408
779,723.0218886236
780,107.8856470049
781,2439.6337179254
782,1666.5810580295
783,2169.4774553331
784,952.8651965657
785,1150.6805357294
786,2193.1503687437
787,307.3204752339
788,432.9259970812
789,963.4886431113
790,2031.0793157046
791,1778.0499899558
792,421.6232189397
793,1760.7068194643
794,2079.9861053757
795,1191.9821772374
796,774.1826714327
797,980.1641346434
798,2689.59570009
799,521.0013734906
800,1307.9073118071
801,412.8037897548
802,2146.2880714546
803,1679.4600483132
804,1929.9058380936
805,1124.8445412301
806,2192.9240810436
807,259.0536509784
808,848.2015831781
809,387.2818992479
810,1583.7712731924
811,1217.6006337054
812,1429.3851808532
813,658.9497221529
814,2446.2201675486
815,747.9566899766
816,2067.5732913533
817,75.0392147233
818,878.6942404911
819,678.8297249994
820,2052.0936540648
821,709.928151108
822,2121.5321248011
823,85.4231016458
824,627.7185302239
825,247.9404788772
826,2174.4539604888
827,1250.6808880339
828,1839.6103374138
829,918.0380280904
830,988.0733420119
831,604.6648485135
832,177.0027515111
833,743.8723572757
834,751.9516066466
835,1484.6051010364
836,2188.1985096243
837,1935.2515650094
838,611.2953869146
839,424.6596901247
840,2560.09996902
841,46.486008005
842,1513.5029609255
843,702.8658882392
844,1540.7515909859
845,504.5555446056
846,592.5549336206
847,1624.9865882239
848,1781.3755798665
849,2399.4450550898
850,226.5879092164
851,2000.7967208079
852,547.9617568223
853,3084.8815737845
854,1005.7935147777
855,1162.6511929957
856,2182.2915180875
857,1768.9533359685
858,2012.475044674
859,2416.2988160656
860,2694.9534529314
861,1430.1768160232
862,1417.5549359968
863,969.3763996219
864,1201.3253547862
865,1705.7295905428
866,1045.6954208492
867,1408.9672711679
868,287.5184342739
869,2056.4512749259
870,1917.5350342693
871,3016.1452001225
872,1788.1014749388
873,282.8278329428
874,328.9623677497
875,607.2850012516
876,2332.1011374737
877,690.6524307672
878,612.744522946
879,2458.2426943132
880,2344.4629393257
881,3061.3644755249
882,870.1128241316
883,1415.2144979556
884,1444.898216526
885,2393.5862033026
886,2158.342565495
887,914.7079037748
888,318.781473538
889,2208.8384754142
890,1868.8485460943
891,3028.6634776079
892,1990.6307138205
893,2775.3863789768
894,112.7502709887
895,2288.9661607357
896,1083.8641725775
897,2454.597735
898,974.4609308663
899,2086.6582154821
900,123.062653892
901,292.0316398018
902,770.6409672735
903,141.005818573
904,567.0309110482
905,64.1401799332
906,1851.9054071706
907,1372.3771444511
908,857.5470112276
909,477.1189270161
910,1936.2105383727
911,642.5447567679
912,2656.4388624708
913,451.1870767576
914,2192.9322213166
915,1156.3055318247
916,1522.025717701
917,2895.4199469855
918,3113.8241776902
919,2931.9210623368
920,3028.7477684285
921,1047.9315746258
922,373.4428356201
923,1110.2700391099
924,254.9987466701
925,2800.1563377727
926,2278.9997523124
927,461.9079144313
928,752.0656354619
929,861.5804689456
930,896.6879287299
931,3518.6965808179
932,1037.1324571356
933,2892.6802034334
934,787.248186318
935,2548.3126725968
936,724.6748976382
937,337.558744098
938,943.3244430226
939,1275.829040505
940,260.7568956411
941,1757.5269476623
942,1655.5809197302
943,2881.2809091058
944,1569.6874243358
945,2628.1244143554
946,904.7711245988
947,1525.1461471103
948,198.1474941643
949,2784.198114738
950,1850.606146582
951,968.1309475584
952,1917.3500399258
953,2811.5916371945
954,3038.668285435
955,162.5864803904
956,307.3353697425
957,1330.9837725817
958,277.6231899492
959,2622.8594883082
960,674.8340547247
961,2976.652753977
962,1016.0660719905
963,3134.3572744629
964,3219.3997138145
965,343.1175512895
966,1987.4329798916
967,1472.2604961424
968,3007.554628171
969,897.6319919049
970,1668.1115806556
971,2869.0827460394
972,1548.9919157447
973,2316.669451362
974,503.5898456193
975,1276.0555726414
976,1384.3868255461
977,2914.03617784
978,3240.057753007
979,316.7645840511
980,989.2114499333
981,1174.2206287469
982,668.319100936
983,171.1245724751
984,1785.3870028244
985,1338.311419107
986,2336.8264372754
987,335.5469597345
988,2416.1428931527
989,1196.1855709607
990,343.9722659657
991,2841.713694384
992,2808.1717364101
993,2855.3855291141
994,3148.012305669
995,3068.6234648572
996,150.7453838814
997,770.2050585171
998,2816.0642949273
999,3131.1527715644
1000,2758.0339954862
1001,2624.2546281882
1002,253.9630060911
1003,75.75099357
1004,323.8947163848
1005,2706.773745355
1006,2354.2765148918
1007,2995.331276275
1008,2927.7734364172
1009,2621.4640921192
1010,2741.6770234826
1011,2940.2615277933
1012,3080.6093162952
1013,879.4662748776
1014,2217.335743511
1015,771.8839624927
1016,2745.0246412183
1017,2721.5404658044
1018,1887.499169486
1019,2242.6211420703
1020,624.7029691622
1021,1385.689672632
1022,2972.4152193733
1023,816.3895572126
1024,2214.7510381595
1025,267.0623454288
1026,347.5538547814
1027,2749.9046222889
1028,801.4164732616
1029,2357.4072249114
1030,597.9572528428
1031,1229.261015522
1032,2641.7248650883
1033,485.0923231375
1034,390.5658489537
1035,1606.5807611857
1036,1711.8199110088
1037,400.726982139
1038,1070.0384933849
1039,1723.9224208057
1040,1648.7186087
1041,926.6992279534
1042,1374.9756156402
1043,2034.479285571
1044,1466.4311565185
1045,1342.6559860398
1046,2108.0935652866
1047,2560.1312061454
1048,2300.6082479541
1049,1991.0691257972
1050,2884.3044994688
1051,1609.4505659232
1052,2121.8385184089
1053,2506.0257288079
1054,2636.0244497458
1055,928.7099758258
1056,1098.7399131497
1057,2545.8125715175
1058,995.0750267432
1059,2977.2130661816
1060,217.3928966085
1061,2574.878882497
1062,1339.8095640949
1063,1265.2834284872
1064,1005.12283615
1065,734.0461551468
1066,2983.2775907275
1067,377.8733028937
1068,1633.6358444965
1069,759.1058207095
1070,2530.7577272616
1071,1183.3909126746
1072,330.266643981
1073,3271.7585585786
1074,2205.6990900174
1075,1883.2464358992
1076,580.9518827692
1077,3790.5355299387
1078,1146.6532807144
1079,2420.095784276
1080,3270.099701133
1081,383.7545184676
1082,444.4773299859
1083,3667.6191672247
1084,2177.6131892848
1085,645.618809473
1086,715.8039214187
1087,783.3106875889
1088,1202.3086572592
1089,2869.887499376
1090,1094.3316411041
1091,2033.5388945526
1092,1124.7112206357
1093,2002.9594247293
1094,460.6071062438
1095,1980.863567576
1096,1333.1254252142
1097,3093.2613901588
1098,75.1662495591
1099,1545.5197837592
1100,2379.9755081533
1101,1714.4613799809
1102,2931.296236733
1103,2849.3154456196
1104,2575.1121412579
1105,388.5474407111
1106,3506.1334447629
1107,2545.1859205639
1108,2487.7345359063
1109,2608.2384284766
1110,1821.4443289268
1111,1377.0566063835
1112,2917.3053868444
1113,1203.5210147696
1114,2220.9452495469
1115,986.8791950998
1116,1981.0255511105
1117,2454.1069335042
1118,874.9167840585
1119,3079.1781450686
1120,391.4857744033
1121,2524.2909809721
1122,1365.9939951139
1123,2511.4135609724
1124,2651.7150081053
1125,3035.0522038278
1126,1516.1604623864
1127,655.2596087819
1128,1806.9871644873
1129,3251.1419768144
1130,2076.4332587595
1131,1176.2792431816
1132,40.7573728877
1133,3544.4665185658
1134,2302.0287775114
1135,1818.5346819626
1136,107.3211499276
1137,36.8264499312
1138,941.5554061818
1139,1988.9705317259
1140,733.8940292877
1141,2724.7046762591
1142,2046.4252866962
1143,1219.391000808
1144,2343.9276170209
1145,1118.9120919826
1146,3163.6152852148
1147,1708.997618418
1148,2515.2589205458
1149,1629.2755687728
1150,2780.6378159264
1151,857.4104965818
1152,1754.8985001207
1153,918.5814335444
1154,3432.864156893
1155,2975.2761811995
1156,1094.1463152396
1157,1192.7556097528
1158,2446.4965287022
1159,1270.8042085232
1160,1875.0487117946
1161,2264.1639348335
1162,266.8396389428
1163,364.4201567238
1164,2780.3080258913
1165,1221.5415762516
1166,2497.5740968963
1167,1033.2860214235
1168,2371.5491496657
1169,3485.4016684755
1170,839.8364122775
1171,1762.3888731816
1172,1490.8035258869
1173,382.1244487052
1174,2711.2843306586
1175,363.9431583824
1176,2075.292532528
1177,1259.2394932979
1178,1580.8162574721
1179,2407.1954093614
1180,3039.9460749831
1181,1761.3537383424
1182,2573.5548752554
1183,1032.8492598915
1184,1413.6994894213
1185,2552.3559632207
1186,1929.5196583889
1187,2743.9357138287
1188,2151.6310431778
1189,1752.8866512796
1190,1059.1473189
1191,225.2131229832
1192,882.3072291203
1193,1628.6043859088
1194,3246.2931944904
1195,2795.8558189366
1196,331.0541650802
1197,2125.3241341986
1198,2839.9905090764
1199,2068.6669377227
1200,193.9031281259
1201,2271.1539193964
1202,1045.0843644521
1203,2887.7647115479
1204,144.0495643446
1205,1612.6774850224
1206,2171.6103041469
1207,1892.2142007261
1208,3236.3436315557
1209,2579.1185852003
1210,3488.2460804095
1211,2935.6080399144
1212,3825.6169896505
1213,2511.6845448775
1214,3227.519282115
1215,2111.7356449571
1216,3047.1583563074
1217,3524.4796154354
1218,958.5621671315
1219,2355.0849086872
1220,2730.0269505564
1221,2531.3352239981
1222,22.6004132148
1223,2471.1685847362
1224,363.1523840056
1225,3136.1364227317
1226,2833.6546725067
1227,3012.2441111428
1228,1428.143678733
1229,363.2150947834
1230,2033.0387637397
1231,3045.9115743302
1232,2357.3081025772
1233,1438.1824987756
1234,1559.595828941
1235,343.2680797864
1236,3231.5480828616
1237,2477.373244097
1238,3377.1845465972
1239,3639.4540605363
1240,551.3854584913
1241,2870.0646164047
1242,1655.865395856
1243,2460.923323607
1244,1124.8734263734
1245,2021.1328912568
1246,2013.708918526
1247,1807.3065910683
1248,3246.4451998857
1249,3309.671040855
1250,782.6362570832
1251,177.9700041249
1252,3912.4607913189
1253,1255.124736996
1254,323.2113179572
1255,1486.3098965336
1256,2111.8840872028
1257,2777.4595853029
1258,3238.5787976887
1259,2056.6627093362
1260,1551.1414198514
1261,2624.5809073446
1262,2036.3356401088
1263,768.5366639368
1264,1754.6400214333
1265,1357.6384879402
1266,1755.7092561804
1267,178.356813143
1268,2705.1861975779
1269,1279.6784581796
1270,667.5451748252
1271,2558.8369530846
1272,3474.4223298766
1273,2122.7070981922
1274,1045.4756359195
1275,1732.0159105653
1276,1593.3812041807
1277,3032.3275163885
1278,273.8973851066
1279,3285.5584105349
1280,2953.7762208434
1281,1003.1371887924
1282,1259.7389520523
1283,2334.4153514707
1284,2657.282942675
1285,3430.0615556681
1286,2840.6951269546
1287,3097.2234024391
1288,2199.8959044259
1289,3382.5434681787
1290,2150.9610512472
1291,2396.7856543942
1292,2238.6317762246
1293,1639.8277468629
1294,323.6255176703
1295,2025.7033056822
1296,1761.9432311615
1297,3345.4512173442
1298,2079.8221127466
1299,3821.1890927882
1300,3611.9944664716
1301,2032.0845356507
1302,1496.1775275289
1303,2796.822538893
1304,2790.0156343663
1305,3107.9965662777
1306,2816.0104660222
1307,18.5142328448
1308,2788.9627901529
1309,2660.8146517992
1310,2500.9768481152
1311,2818.231568997
1312,1230.9736006343
1313,1182.4932825484
1314,3029.0037520681
1315,1169.6417775213
1316,2844.6471801747
1317,3250.2756513953
1318,3713.7028819225
1319,2831.0532085262
1320,3410.5225553661
1321,1605.6670384491
1322,2592.7853626892
1323,2011.6571504673
1324,3070.7425678958
1325,1209.0887583041
1326,3531.8010725559
1327,3335.0002148611
1328,2826.5279114347
1329,1818.8017673391
1330,2557.131650684
1331,1290.9051995816
1332,2499.3070519182
1333,1018.6373186466
1334,2698.3793419027
1335,3419.6405528595
1336,475.4605609291
1337,2962.1577707565
1338,2087.3393528674
1339,666.5239107093
1340,431.3078617265
1341,3387.1640904628
1342,672.9618298241
1343,3616.157591936
1344,3077.2661080924
1345,3906.9805734936
1346,3294.6501396624
1347,2588.4934764993
1348,2306.4233496536
1349,2058.3145467713
1350,1885.0420090106
1351,741.546276178
1352,2273.3913570112
1353,2552.7961813749
1354,2202.5147795757
1355,1922.465715072
1356,2488.6372010301
1357,336.3601290494
1358,3593.0781333702
1359,676.2908764581
1360,3550.9412376803
1361,270.5583870902
1362,178.0928097749
1363,2967.8850370555
1364,1946.597546705
1365,2964.0217608387
1366,1146.3267598372
1367,2836.502746457
1368,2184.1028708938
1369,2302.9894133512
1370,2761.2868424746
1371,1298.5756335772
1372,2613.9630547257
1373,3157.4948132466
1374,3200.8618253191
1375,2572.2180970289
1376,3455.3501747928
1377,2527.421148511
1378,436.3901921189
1379,624.2429329225
1380,580.5421328181
1381,484.0266247293
1382,3446.4993582478
1383,2166.4737371922
1384,3148.9178412594
1385,1187.6814234874
1386,3095.2923750355
1387,3164.1107853687
1388,1432.9604915103
1389,3861.3331460606
1390,3307.5959802086
1391,189.5296544161
1392,1716.3626656649
1393,3236.3860092232
1394,2618.312696177
1395,692.3651330748
1396,1054.7860048818
1397,537.177380777
1398,3012.749644982
1399,1139.6122185395
1400,2251.6792493622
1401,674.2861607013
1402,2458.5805655925
1403,2532.2881774186
1404,1889.8576638355
1405,2549.2069879663
1406,1294.6021010359
1407,427.208751577
1408,133.6779863024
1409,755.1063064471
1410,1319.6870097399
1411,2526.6791088358
1412,1480.6129941732
1413,1473.4481322878
1414,429.4223342186
1415,188.0448323373
1416,1245.3072856088
1417,3425.770044209
1418,695.5234767626
1419,1675.6159543107
1420,4090.7416885198
1421,2985.5272382586
1422,3237.989507418
1423,158.6264961461
1424,2481.2009468189
1425,608.6014682123
1426,503.5203710191
1427,3633.2396082465
1428,2618.4782977339
1429,758.2395023455
1430,438.023255172
1431,2742.3539720676
1432,2753.4451853375
1433,1286.6039482036
1434,3749.8699135665
1435,3525.2443337346
1436,3612.898391982
1437,3295.994397748
1438,3268.3951975574
1439,3392.6034829153
