return-average,epoch
789.3044086428,324
74.5461647182,325
2278.5969570053,326
554.1730497552,327
824.4766502865,328
752.3435250315,329
836.4082354938,330
728.0281656646,331
1445.9238870735,332
2692.0667179317,333
950.7287450338,334
2987.6750294816,335
1921.2696351632,336
3050.9118145221,337
1093.5701586388,338
1234.2786744534,339
2256.3607372195,340
652.3164729325,341
1721.7560167656,342
1185.3068055529,343
3042.8251269512,344
2339.604088923,345
922.280678529,346
2776.5224595274,347
321.2542149019,348
1826.5564278795,349
456.4651939427,350
1334.8981556428,351
1830.2630150203,352
2822.0908355021,353
268.5321435342,354
1495.528868345,355
2122.734356121,356
2140.3261213609,357
2590.2510578734,358
539.5015692153,359
2502.1434061056,360
1550.111398941,361
1704.9402418869,362
201.4226542836,363
1287.4837364283,364
330.2703336414,365
2108.0240994668,366
301.2225776375,367
1288.4783137317,368
282.5472723555,369
846.3593230534,370
562.1771398101,371
2388.5439263595,372
191.6384114354,373
1531.2087692899,374
1757.755772998,375
700.2956456519,376
1703.7841748855,377
2544.2086718637,378
1045.3857471004,379
1792.4234242059,380
482.072522143,381
295.6294587916,382
1024.0054522123,383
2654.0871147458,384
2457.5472796549,385
797.7264237769,386
1190.5261968551,387
3108.0273473707,388
1185.8341310503,389
389.6460820981,390
574.1112155691,391
2462.0357037386,392
710.8352756646,393
3252.7915303617,394
1101.2811663945,395
173.950907465,396
1802.3071942578,397
1515.4859183134,398
2012.4513042885,399
906.9495280447,400
811.6213170973,401
404.8854845878,402
761.8383319329,403
1118.6829579812,404
1119.5111653005,405
1606.7362979814,406
2371.0047926824,407
1251.7498848079,408
1718.491586359,409
318.4739189928,410
1088.7720344255,411
1995.6333255688,412
46.8916057359,413
2499.6025168113,414
1038.169195025,415
2540.1571584165,416
504.2851668383,417
2375.8128677145,418
1467.9202531561,419
1531.5464417976,420
2082.2622055626,421
1532.7668658531,422
2137.5360737061,423
49.8111723856,424
212.1965865646,425
2876.1486466142,426
2060.7584255886,427
979.4855013764,428
1090.7353857948,429
2064.5692964164,430
2752.3253120271,431
2997.0708120158,432
2436.3426682266,433
2642.7866833271,434
298.6350585107,435
216.4908140778,436
260.1616474024,437
290.329518533,438
229.2055201597,439
717.5992558779,440
659.5856683572,441
632.4398762316,442
1367.9184230268,443
924.7747059717,444
2688.8010925979,445
