return-average,epoch
1449.55903126,254
711.2678184107,255
844.6281994797,256
897.2857544977,257
793.4005717946,258
406.1423761499,259
508.3375338188,260
843.0160280331,261
832.5049460081,262
685.4213408074,263
1033.1075137353,264
704.9117856201,265
866.1360508178,266
201.7171297775,267
295.0670516658,268
903.4500511151,269
536.8088927494,270
421.0510826538,271
689.595540437,272
238.6969187048,273
108.9606750137,274
725.8326719865,275
162.504703588,276
411.5033307864,277
1005.7064740785,278
501.056896903,279
673.411327215,280
758.525806464,281
1042.5833790603,282
1557.3595671573,283
156.3807213527,284
1439.9940523961,285
432.0047068051,286
739.2569840559,287
44.9921745826,288
1036.1165476676,289
446.7368253945,290
373.3141745771,291
985.7150173988,292
349.9067200909,293
328.9517183411,294
508.8299379684,295
433.7965937737,296
551.4052313597,297
308.94033403,298
682.7884653605,299
83.8991791204,300
358.5433777707,301
1245.8743852551,302
574.4232095545,303
241.782653675,304
173.5039377864,305
574.9790060163,306
264.7481104288,307
197.2083088156,308
1183.1775806484,309
1535.3322370406,310
543.2592982815,311
179.9045877349,312
1399.6959179124,313
233.9686829377,314
241.8600848882,315
950.1825528637,316
148.2072189907,317
1113.6480885152,318
1028.5233146713,319
885.4717804827,320
874.0148726919,321
273.8490744458,322
876.0868620013,323
603.924176817,324
899.0400556551,325
716.7257635491,326
1575.0525389353,327
585.10988918,328
1008.8019227396,329
501.5613167341,330
505.9759898724,331
333.6056889115,332
137.4814584273,333
435.0402160639,334
736.0242203606,335
649.7197552207,336
1466.090486598,337
675.3899602626,338
1470.6514736856,339
658.6102626375,340
420.4549529166,341
377.7917832388,342
205.7627693096,343
602.9727196017,344
1397.600821029,345
363.2561521832,346
577.6345420693,347
685.7602522966,348
246.5984680072,349
1686.0713338967,350
502.2512679279,351
453.6561484885,352
1506.9864182503,353
1157.6763669406,354
1083.8603233944,355
1047.7587834649,356
1211.6972903119,357
770.2111101021,358
235.5308930651,359
318.538653505,360
1325.2052983444,361
989.0574745992,362
191.6755191849,363
232.68526833,364
263.8758050541,365
1046.1955083805,366
182.5155067523,367
593.4389125783,368
1621.0735245473,369
1200.6414623742,370
759.3996913645,371
409.8913427821,372
1340.6780368327,373
843.9963956966,374
572.1525079202,375
1037.7349636676,376
338.2921567677,377
604.6040402375,378
1592.3817260767,379
1056.548578599,380
1137.4148133386,381
1299.3960538137,382
178.8934575168,383
1364.4812764072,384
2188.0392480617,385
1411.4702483265,386
1007.1820183023,387
603.3057897631,388
432.5533893844,389
1193.3298851987,390
128.4450098308,391
1528.4085044905,392
1212.2217814216,393
774.3284857106,394
2048.8802297012,395
1907.1026121977,396
195.1076799792,397
1901.305183627,398
1246.4618907489,399
1515.2098993794,400
1520.2514673736,401
371.3419772353,402
1002.3862082377,403
610.4285634744,404
466.4821789341,405
408.2679326191,406
194.9484837692,407
350.7718043308,408
1259.4729342526,409
1350.0447490252,410
476.5955465466,411
485.7995287286,412
1548.8608396143,413
262.3001504778,414
655.3359822004,415
179.9303489185,416
1526.9526059637,417
1491.7007988756,418
803.3531604152,419
2122.515054365,420
705.5164844315,421
713.1267604051,422
236.5349129666,423
1988.8354285737,424
238.4014893834,425
2028.9478692292,426
1411.3389726511,427
44.0669795008,428
2015.4890774711,429
590.6457397654,430
1179.9866201945,431
963.6632630507,432
1774.7676100953,433
1609.4206813533,434
65.7446313048,435
706.3794175677,436
751.9478961793,437
1568.1052794956,438
808.6770048336,439
850.2370860463,440
1815.8417947412,441
535.9649687568,442
327.0594100845,443
2279.3135090856,444
1399.6861374547,445
2044.3758721173,446
1420.6133628927,447
2057.8130582878,448
1506.4081593443,449
544.1981669985,450
839.9948410468,451
1047.637283349,452
724.2975901312,453
516.3027251522,454
1768.0045852114,455
1536.3927399182,456
2091.2384722927,457
1453.4786867202,458
1656.4450994666,459
363.9403024114,460
1547.0210548364,461
1207.997114657,462
419.2707281919,463
1388.5413290744,464
1033.984908663,465
1933.589676145,466
1841.4756237411,467
576.0476554579,468
1315.9358663094,469
2348.7235627666,470
120.1800413199,471
1605.232708826,472
1018.7105529484,473
1032.0542942142,474
454.3061019398,475
1467.5140419225,476
2031.8380730428,477
724.5986367121,478
1176.9702087936,479
2082.5971464189,480
1843.8350957045,481
1000.9534744468,482
1836.6213323245,483
1600.0788248144,484
392.75861322,485
438.830508562,486
325.1943263858,487
409.7112632007,488
201.3468467709,489
923.6526841398,490
615.1866938845,491
1004.4344999219,492
1817.110742767,493
363.4684860443,494
467.4473423486,495
186.8087317606,496
563.7516319429,497
206.408705245,498
1013.5121646795,499
467.2269828734,500
677.5818696194,501
141.436512562,502
1254.0106370403,503
2076.9585580583,504
2246.5010876946,505
1981.5302144719,506
1138.4944372499,507
1162.4651354265,508
289.6665279306,509
662.298957719,510
596.0482545588,511
379.2387745931,512
103.7794194773,513
215.604925635,514
1740.7719086784,515
758.9456984349,516
1888.9083531129,517
1504.5147735559,518
2441.7648030336,519
2424.9189832591,520
263.763397448,521
1568.975046307,522
1393.3069461532,523
2139.0257418157,524
344.2922183967,525
482.3722325589,526
1131.1231344314,527
1651.17752528,528
1319.9202967028,529
562.7446498703,530
114.0383525471,531
366.369854162,532
988.1209339481,533
1707.6539206091,534
1017.1041896546,535
1463.8740146866,536
1347.6595326969,537
288.792163534,538
1498.9964181994,539
413.5110202242,540
870.5948218159,541
2328.9198159864,542
48.0217780678,543
412.1869763292,544
921.1233638424,545
453.5008610324,546
708.2945744015,547
661.1101414376,548
2445.849891902,549
1671.1336268531,550
1718.4044252213,551
1763.405739044,552
493.1612982553,553
179.0980062286,554
2013.2378564187,555
940.7101652339,556
1354.2317376947,557
45.9371951228,558
2315.2185727293,559
1583.2574726717,560
487.918703656,561
253.4102116243,562
1079.7795248409,563
1153.7211222112,564
1736.4122212598,565
1878.7949039222,566
425.1366961009,567
2594.6922329553,568
446.1834910848,569
144.817817516,570
408.2898655633,571
1484.3972270176,572
908.0610133002,573
674.5625421011,574
1882.674224472,575
608.1140920524,576
210.662265113,577
535.0495787007,578
566.8950361849,579
180.5842586042,580
150.8059839372,581
567.2196939828,582
894.0695570841,583
1860.3839863099,584
941.4544717481,585
456.4472814491,586
377.1136607633,587
245.0596101335,588
2350.3155762582,589
1037.7511600565,590
794.0723130953,591
1323.6798498008,592
1980.1441970815,593
1451.7806804843,594
2161.8472107932,595
1382.6298805484,596
1940.5070709674,597
1260.9497639613,598
1796.4822625821,599
240.8905527845,600
435.9839707951,601
961.7351967555,602
2146.8396742199,603
1313.6341475525,604
1411.0657585192,605
661.349733298,606
1316.516961134,607
1819.1453770414,608
1855.5322285328,609
839.7608788749,610
245.2423151075,611
765.616822319,612
701.0499698759,613
2656.9916877492,614
509.5918091523,615
1372.5022895674,616
1726.6741857467,617
494.9972955532,618
138.5998741185,619
528.9438206646,620
1345.5555171714,621
2559.0352613336,622
2389.4351942802,623
233.50482245,624
1207.6841664156,625
194.0013682932,626
444.4589691668,627
40.6541080975,628
35.4164331301,629
172.5650033397,630
960.6916109166,631
1869.2000086109,632
674.5936233754,633
653.9625331977,634
132.7741751763,635
1635.5253738798,636
523.8752828535,637
1076.5043675627,638
1569.496568558,639
819.5414497567,640
2005.0750856803,641
131.5036655558,642
912.5114682446,643
323.1962421922,644
455.4031450861,645
2263.5711338937,646
177.9099594073,647
3024.0634099883,648
1540.4681776284,649
959.0614342103,650
2344.2887937823,651
2733.7586356014,652
1081.9944212911,653
2720.3289048645,654
2424.0484712511,655
244.870009921,656
828.6276786785,657
502.8910471893,658
686.8053094766,659
1752.7297057572,660
1141.6365706728,661
306.3193873499,662
2001.0004274627,663
423.7861482926,664
2717.5361264871,665
1093.5703961565,666
2017.4489731406,667
2012.7533415963,668
506.3034465231,669
726.162848087,670
627.9184033159,671
2654.0416704727,672
349.1160560834,673
2673.9010524006,674
2533.2890063433,675
1397.6651714013,676
295.2674262747,677
177.4678693891,678
905.9384574703,679
373.5809971754,680
1855.5064372562,681
1947.5358874112,682
606.9335425205,683
2481.6224913231,684
880.1835550665,685
2717.4807342517,686
1121.0793799177,687
266.2961073603,688
2134.5738975333,689
1547.8895958041,690
993.8252829025,691
1541.5634998322,692
2635.7679311904,693
797.963596711,694
2627.7978110896,695
1231.1039651428,696
588.2229088282,697
660.8518494875,698
2314.6328716825,699
143.5449366464,700
112.1217131659,701
362.5517022669,702
1696.9325554528,703
1851.743579086,704
983.8652949279,705
640.6642470453,706
2972.7890501424,707
2741.9237677062,708
241.0121009701,709
2320.3410672342,710
266.4889176464,711
2580.8633041051,712
1595.9765920175,713
1523.2974163785,714
2059.7207468633,715
865.0886046966,716
2434.8563485492,717
260.3857767065,718
684.6071663355,719
1816.7448645237,720
1774.855789737,721
403.6139067172,722
802.7895575853,723
166.0675813897,724
1863.9184139645,725
2675.7125865974,726
230.6355300521,727
887.1551762845,728
968.4049306508,729
1411.9227345883,730
2012.0732911407,731
1572.8306975701,732
